sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
4/26/2019-sOP-65	DvH Anc. (D2) & Mmp Anc. (M1)	DvH Anc. (D2) & Mmp Anc. (M1)Jess	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005750035	0.271643747	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021		0	1	50	0.038110169	0.00158295	0.278392	0.005485592	1	0.038110169	0.278392
4/26/2019-sOP-67	DvH Anc. (D2) & Mmp Anc. (M1)	DvH Anc. (D2) & Mmp Anc. (M1)Jess	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004945503	0.265791782	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021		0	1	100	0.032735582	0.000313776	0.269886	0.005718621	1	0.032735582	0.269886
4/26/2019-sOP-70	DvH Anc. (D2) & Mmp Anc. (M1)	DvH Anc. (D2) & Mmp Anc. (M1)Jess	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006181894	0.300782728	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021		0	1	260	0.03500943	0.000558594	0.296042	0.0030396	1	0.03500943	0.296042
4/26/2019-sOP-71	DvH Anc. (D2) & Mmp Anc. (M1)	DvH Anc. (D2) & Mmp Anc. (M1)Jess	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005803115	0.289490246	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021		0	1	60	0.035559041	0.001893733	0.296156	0.006284571	1	0.035559041	0.296156
4/26/2019-sOP-73	DvH Anc. (D2) & UE3.152.03.M02	DvH Anc. (D2) & UE3.152.03.M02Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.005250853	0.300612075	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478		0	1	30	0.047701669	0.00134237	0.281832	0.005511122	2	0.047701669	0.281832
4/26/2019-sOP-75	DvH Anc. (D2) & UE3.152.03.M02	DvH Anc. (D2) & UE3.152.03.M02Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008662261	0.375432994	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478		0	1	100	0.05003074	0.000589944	0.37501	0.00327227	2	0.05003074	0.37501
4/26/2019-sOP-76	DvH Anc. (D2) & UE3.152.03.M02	DvH Anc. (D2) & UE3.152.03.M02Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008622856	0.377267776	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478		0	1	60	0.050892399	0.000782353	0.37561	0.001791689	2	0.050892399	0.37561
4/26/2019-sOP-77	DvH Anc. (D2) & UE3.152.03.M02	DvH Anc. (D2) & UE3.152.03.M02Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008944143	0.358234754	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478		0	1	90	0.06203243	0.002269038	0.357778	0.001894405	2	0.06203243	0.357778
5/31/2019-sPCP-09	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009356884	0.328033551	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	0	135	0.05553622	0.000647084	0.337135334	0.004634183	3	0.05553622	0.337135334
5/31/2019-sPCP-10	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009511863	0.307159054	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	150	0.073392462	0.001039202	0.331063072	0.006572176	3	0.073392462	0.331063072
5/31/2019-sPCP-11	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.0095529	0.337942178	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	100	0.063827843	0.001183494	0.355103556	0.029329637	3	0.063827843	0.355103556
5/31/2019-sPCP-12	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.01048077	0.335830786	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	100	0.060806889	0.001078929	0.348632058	0.004678181	3	0.060806889	0.348632058
5/31/2019-sPCP-13	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.008249948	0.349937843	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	90	0.034531978	0.001305832	0.358879789	0.024281555	3	0.034531978	0.358879789
5/31/2019-sPCP-14	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.010849541	0.34287888	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	50	0.054549529	0.001081317	0.352620365	0.001540126	3	0.054549529	0.352620365
5/31/2019-sPCP-15	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009218729	0.335348154	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	100	0.044361443	0.000322266	0.347769803	0.002265562	3	0.044361443	0.347769803
5/31/2019-sPCP-16	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.0092508	0.30686013	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	50	0.053944144	0.001652029	0.34447096	0.006720822	3	0.053944144	0.34447096
