File	sample.id	experiment	org	sample	no	tmp1
1000-gen/results/dvh/HA2/alignment_results/HA2_marked.bam	1000-gen-HA2	1000-gen	dvh	HA2	HA2	NA
1000-gen/results/dvh/HA3/alignment_results/HA3_marked.bam	1000-gen-HA3	1000-gen	dvh	HA3	HA3	NA
1000-gen/results/dvh/HE2/alignment_results/HE2_marked.bam	1000-gen-HE2	1000-gen	dvh	HE2	HE2	NA
1000-gen/results/dvh/HE3/alignment_results/HE3_marked.bam	1000-gen-HE3	1000-gen	dvh	HE3	HE3	NA
1000-gen/results/dvh/HE3.2/alignment_results/HE3.2_marked.bam	1000-gen-HE3.2	1000-gen	dvh	HE3.2	HE3.2	NA
1000-gen/results/dvh/HR1/alignment_results/HR1_marked.bam	1000-gen-HR1	1000-gen	dvh	HR1	HR1	NA
1000-gen/results/dvh/HR2/alignment_results/HR2_marked.bam	1000-gen-HR2	1000-gen	dvh	HR2	HR2	NA
1000-gen/results/dvh/HS3/alignment_results/HS3.2_marked.bam	1000-gen-HS3	1000-gen	dvh	HS3	HS3	NA
1000-gen/results/dvh/HS3.old/alignment_results/HS3_marked.bam	1000-gen-HS3.old	1000-gen	dvh	HS3.old	HS3.old	NA
1000-gen/results/dvh/UA2/alignment_results/UA2_marked.bam	1000-gen-UA2	1000-gen	dvh	UA2	UA2	NA
1000-gen/results/dvh/UA3/alignment_results/UA3_marked.bam	1000-gen-UA3	1000-gen	dvh	UA3	UA3	NA
1000-gen/results/dvh/UE2/alignment_results/UE2_marked.bam	1000-gen-UE2	1000-gen	dvh	UE2	UE2	NA
1000-gen/results/dvh/UE3/alignment_results/UE3_marked.bam	1000-gen-UE3	1000-gen	dvh	UE3	UE3	NA
1000-gen/results/dvh/UE3.2/alignment_results/UE3.2_marked.bam	1000-gen-UE3.2	1000-gen	dvh	UE3.2	UE3.2	NA
1000-gen/results/dvh/UR1/alignment_results/UR1_marked.bam	1000-gen-UR1	1000-gen	dvh	UR1	UR1	NA
1000-gen/results/dvh/US1/alignment_results/US1_marked.bam	1000-gen-US1	1000-gen	dvh	US1	US1	NA
1000-gen/results/mmp/HA2/alignment_results/HA2_marked.bam	1000-gen-HA2	1000-gen	mmp	HA2	HA2	NA
1000-gen/results/mmp/HA3/alignment_results/HA3_marked.bam	1000-gen-HA3	1000-gen	mmp	HA3	HA3	NA
1000-gen/results/mmp/HE2/alignment_results/HE2_marked.bam	1000-gen-HE2	1000-gen	mmp	HE2	HE2	NA
1000-gen/results/mmp/HE3/alignment_results/HE3_marked.bam	1000-gen-HE3	1000-gen	mmp	HE3	HE3	NA
1000-gen/results/mmp/HE3.2/alignment_results/HE3.2_marked.bam	1000-gen-HE3.2	1000-gen	mmp	HE3.2	HE3.2	NA
1000-gen/results/mmp/HR1/alignment_results/HR1_marked.bam	1000-gen-HR1	1000-gen	mmp	HR1	HR1	NA
1000-gen/results/mmp/HR2/alignment_results/HR2_marked.bam	1000-gen-HR2	1000-gen	mmp	HR2	HR2	NA
1000-gen/results/mmp/HS3/alignment_results/HS3.2_marked.bam	1000-gen-HS3	1000-gen	mmp	HS3	HS3	NA
1000-gen/results/mmp/HS3.old/alignment_results/HS3_marked.bam	1000-gen-HS3.old	1000-gen	mmp	HS3.old	HS3.old	NA
1000-gen/results/mmp/UA2/alignment_results/UA2_marked.bam	1000-gen-UA2	1000-gen	mmp	UA2	UA2	NA
1000-gen/results/mmp/UA3/alignment_results/UA3_marked.bam	1000-gen-UA3	1000-gen	mmp	UA3	UA3	NA
1000-gen/results/mmp/UE2/alignment_results/UE2_marked.bam	1000-gen-UE2	1000-gen	mmp	UE2	UE2	NA
1000-gen/results/mmp/UE3/alignment_results/UE3_marked.bam	1000-gen-UE3	1000-gen	mmp	UE3	UE3	NA
1000-gen/results/mmp/UE3.2/alignment_results/UE3.2_marked.bam	1000-gen-UE3.2	1000-gen	mmp	UE3.2	UE3.2	NA
1000-gen/results/mmp/UR1/alignment_results/UR1_marked.bam	1000-gen-UR1	1000-gen	mmp	UR1	UR1	NA
1000-gen/results/mmp/US1/alignment_results/US1_marked.bam	1000-gen-US1	1000-gen	mmp	US1	US1	NA
Ancestors/results/dvh/Coculture-Ancestor/Ancestor_1_marked.bam	Ancestors-Coculture-Ancestor	Ancestors	dvh	Coculture-Ancestor	Coculture-Ancestor	NA
Ancestors/results/dvh/Dv-Ancestor-1/D1_1_marked.bam	Ancestors-Dv-Ancestor-1	Ancestors	dvh	Dv-Ancestor-1	Dv-Ancestor-1	NA
Ancestors/results/dvh/Dv-Ancestor-2/D2_1_marked.bam	Ancestors-Dv-Ancestor-2	Ancestors	dvh	Dv-Ancestor-2	Dv-Ancestor-2	NA
Ancestors/results/mmp/Coculture-Ancestor/Ancestor_1_marked.bam	Ancestors-Coculture-Ancestor	Ancestors	mmp	Coculture-Ancestor	Coculture-Ancestor	NA
Ancestors/results/mmp/Mm-Ancestor-1/M1_1_marked.bam	Ancestors-Mm-Ancestor-1	Ancestors	mmp	Mm-Ancestor-1	Mm-Ancestor-1	NA
