File.x	sample.id	experiment.x	sample.x	no.x	tmp1.x	File.y	experiment.y	sample.y	no.y	tmp1.y
1000-gen/data/HA2/HA2_S1_L001_R1_001.fastq	1000-gen-HA2	1000-gen	HA2	HA2	NA	1000-gen/data/HA2/HA2_S1_L001_R2_001.fastq	1000-gen	HA2	HA2	NA
1000-gen/data/HA3/HA3_S2_L001_R1_001.fastq	1000-gen-HA3	1000-gen	HA3	HA3	NA	1000-gen/data/HA3/HA3_S2_L001_R2_001.fastq	1000-gen	HA3	HA3	NA
1000-gen/data/HE2/HE2_S3_L001_R1_001.fastq	1000-gen-HE2	1000-gen	HE2	HE2	NA	1000-gen/data/HE2/HE2_S3_L001_R2_001.fastq	1000-gen	HE2	HE2	NA
1000-gen/data/HE3/HE3_S1_L006_R1_001.fastq	1000-gen-HE3	1000-gen	HE3	HE3	NA	1000-gen/data/HE3/HE3_S1_L006_R2_001.fastq	1000-gen	HE3	HE3	NA
1000-gen/data/HE3.2/HE3.2_S1_L006_R1_001.fastq	1000-gen-HE3.2	1000-gen	HE3.2	HE3.2	NA	1000-gen/data/HE3.2/HE3.2_S1_L006_R2_001.fastq	1000-gen	HE3.2	HE3.2	NA
1000-gen/data/HR1/HR1_S4_L001_R1_001.fastq	1000-gen-HR1	1000-gen	HR1	HR1	NA	1000-gen/data/HR1/HR1_S4_L001_R2_001.fastq	1000-gen	HR1	HR1	NA
1000-gen/data/HR2/HR2_152_S2_L001_R1_001.fastq	1000-gen-HR2	1000-gen	HR2	HR2	NA	1000-gen/data/HR2/HR2_152_S2_L001_R2_001.fastq	1000-gen	HR2	HR2	NA
1000-gen/data/HS3/HS3_S5_L001_R1_001.fastq	1000-gen-HS3	1000-gen	HS3	HS3	NA	1000-gen/data/HS3/HS3_S5_L001_R2_001.fastq	1000-gen	HS3	HS3	NA
1000-gen/data/HS3.2/HS3.2_S5_L006_R1_001.fastq	1000-gen-HS3.2	1000-gen	HS3.2	HS3.2	NA	1000-gen/data/HS3.2/HS3.2_S5_L006_R2_001.fastq	1000-gen	HS3.2	HS3.2	NA
1000-gen/data/UA2/UA2_S3_L001_R1_001.fastq	1000-gen-UA2	1000-gen	UA2	UA2	NA	1000-gen/data/UA2/UA2_S3_L001_R2_001.fastq	1000-gen	UA2	UA2	NA
1000-gen/data/UA3/UA3_S1_L006_R1_001.fastq	1000-gen-UA3	1000-gen	UA3	UA3	NA	1000-gen/data/UA3/UA3_S1_L006_R2_001.fastq	1000-gen	UA3	UA3	NA
