pair	isolate
1	HA2.152.05.D02
2	UA3.152.03.D01
3	HA2.152.01.D02
4	HA2.152.01.D03
5	HR2.152.10.D03
6	UA3.152.03.D02
7	HA2.152.05.D01
8	UA3.152.10.D01
9	UA3.152.02.D03
10	HA2.152.09.D01
11	UA3.152.10.D02
12	UA3.152.02.D02
13	UA3.152.09.D01
14	UA3.152.10.D03
15	HA2.152.02.D01
16	HR2.152.10.D02
17	HA2.152.08.D03
18	UA3.152.02.D01
19	HR2.152.05.D03
20	UA3.152.09.D03
21	UA3.152.09.D02
22	HR2.152.01.D03
23	HA2.152.09.D03
24	HR2.152.01.D01
25	HA2.152.02.D03
26	HA2.152.01.D01
27	HR2.152.05.D01
28	HR2.152.05.D02
29	HA2.152.08.D01
30	DvH 152 WT.D01
31	HA2.152.02.D02
32	HA2.152.05.D03
33	HR2.152.01.D02
34	HA2.152.09.D02
35	HA2.152.08.D02
36	HR2.152.10.D01
37	UA3.152.03.D03
1	HA2.152.08.M02
2	HA2.152.09.M02
3	UA3.152.03.M02
4	HA2.152.08.M03
5	Mp W152 WT.M01
6	HR2.152.01.M01
7	UA3.152.09.M01
8	HR2.152.01.M02
9	UA3.152.02.M01
10	UA3.152.09.M02
11	HR2.152.10.M02
12	UA3.152.02.M02
13	Mp W152 WT.M02
14	HR2.152.05.M02
15	HA2.152.05.M02
16	HR2.152.01.M03
17	HR2.152.10.M01
18	HA2.152.05.M03
19	HR2.152.05.M01
20	UA3.152.10.M02
21	HA2.152.09.M03
22	HA2.152.01.M01
23	HA2.152.09.M01
24	HR2.152.10.M03
25	UA3.152.02.M03
26	HA2.152.08.M01
27	UA3.152.09.M03
28	HA2.152.01.M03
29	UA3.152.03.M03
30	HA2.152.01.M02
31	UA3.152.03.M01
32	UA3.152.10.M01
33	HA2.152.05.M01
34	UA3.152.10.M03
35	HR2.152.05.M03
