File	sample.id	experiment	org	epd.1	epd	sample.1	sample	cell	BAM_File_Size
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/01_Mmp_1_9-48497483/alignment_results/01_Mmp_1_9-48497483_marked.bam	single-cells-mmp-03-1	single-cells	mmp	results_03_2	03	01_Mmp_1_9-48497483	01_Mmp_1_9	1	 36.72M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/03_Mmp_3_9-48493482/alignment_results/03_Mmp_3_9-48493482_marked.bam	single-cells-mmp-03-3	single-cells	mmp	results_03_2	03	03_Mmp_3_9-48493482	03_Mmp_3_9	3	 35.15M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/05_Mmp_5_9-48482546/alignment_results/05_Mmp_5_9-48482546_marked.bam	single-cells-mmp-03-5	single-cells	mmp	results_03_2	03	05_Mmp_5_9-48482546	05_Mmp_5_9	5	 12.76M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/06_Mmp_6_9-48508463/alignment_results/06_Mmp_6_9-48508463_marked.bam	single-cells-mmp-03-6	single-cells	mmp	results_03_2	03	06_Mmp_6_9-48508463	06_Mmp_6_9	6	 16.43M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/07_Mmp_7_9-48496493/alignment_results/07_Mmp_7_9-48496493_marked.bam	single-cells-mmp-03-7	single-cells	mmp	results_03_2	03	07_Mmp_7_9-48496493	07_Mmp_7_9	7	 17.91M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/08_Mmp_8_9-48506467/alignment_results/08_Mmp_8_9-48506467_marked.bam	single-cells-mmp-03-8	single-cells	mmp	results_03_2	03	08_Mmp_8_9-48506467	08_Mmp_8_9	8	 10.81M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/09_Mmp_9_9-48501463/alignment_results/09_Mmp_9_9-48501463_marked.bam	single-cells-mmp-03-9	single-cells	mmp	results_03_2	03	09_Mmp_9_9-48501463	09_Mmp_9_9	9	 36.98M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/10_Mmp_10_9-48496487/alignment_results/10_Mmp_10_9-48496487_marked.bam	single-cells-mmp-03-10	single-cells	mmp	results_03_2	03	10_Mmp_10_9-48496487	10_Mmp_10_9	10	  6.19M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/11_Mmp_11_9-48496488/alignment_results/11_Mmp_11_9-48496488_marked.bam	single-cells-mmp-03-11	single-cells	mmp	results_03_2	03	11_Mmp_11_9-48496488	11_Mmp_11_9	11	 39.17M
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/12_Mmp_12_9-48501459/alignment_results/12_Mmp_12_9-48501459_marked.bam	single-cells-mmp-03-12	single-cells	mmp	results_03_2	03	12_Mmp_12_9-48501459	12_Mmp_12_9	12	 15.44M
