BAM_file	sample.x	sample.id	experiment	epd	org	cell	fastq_files1	fastq_files2	fastq_files3	fastq_files4	fastq_files5	fastq_files6	fastq_files7	fastq_files8	description
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_1-36161126/alignment_results/DvH_03_1-36161126_marked.bam	DvH_03_1	single-cells-dvh-03-1	single-cells	03	dvh	1	DvH-03-1_S95_L001_R1_001.fastq.gz	DvH-03-1_S95_L001_R2_001.fastq.gz	DvH-03-1_S95_L002_R1_001.fastq.gz	DvH-03-1_S95_L002_R2_001.fastq.gz	DvH-03-1_S95_L003_R1_001.fastq.gz	DvH-03-1_S95_L003_R2_001.fastq.gz	DvH-03-1_S95_L004_R1_001.fastq.gz	DvH-03-1_S95_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 1 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_10-36153125/alignment_results/DvH_03_10-36153125_marked.bam	DvH_03_10	single-cells-dvh-03-10	single-cells	03	dvh	10	DvH-03-10_S96_L001_R1_001.fastq.gz	DvH-03-10_S96_L001_R2_001.fastq.gz	DvH-03-10_S96_L002_R1_001.fastq.gz	DvH-03-10_S96_L002_R2_001.fastq.gz	DvH-03-10_S96_L003_R1_001.fastq.gz	DvH-03-10_S96_L003_R2_001.fastq.gz	DvH-03-10_S96_L004_R1_001.fastq.gz	DvH-03-10_S96_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 10 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_11-36160126/alignment_results/DvH_03_11-36160126_marked.bam	DvH_03_11	single-cells-dvh-03-11	single-cells	03	dvh	11	DvH-03-11_S97_L001_R1_001.fastq.gz	DvH-03-11_S97_L001_R2_001.fastq.gz	DvH-03-11_S97_L002_R1_001.fastq.gz	DvH-03-11_S97_L002_R2_001.fastq.gz	DvH-03-11_S97_L003_R1_001.fastq.gz	DvH-03-11_S97_L003_R2_001.fastq.gz	DvH-03-11_S97_L004_R1_001.fastq.gz	DvH-03-11_S97_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 11 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_12-36164128/alignment_results/DvH_03_12-36164128_marked.bam	DvH_03_12	single-cells-dvh-03-12	single-cells	03	dvh	12	DvH-03-12_S98_L001_R1_001.fastq.gz	DvH-03-12_S98_L001_R2_001.fastq.gz	DvH-03-12_S98_L002_R1_001.fastq.gz	DvH-03-12_S98_L002_R2_001.fastq.gz	DvH-03-12_S98_L003_R1_001.fastq.gz	DvH-03-12_S98_L003_R2_001.fastq.gz	DvH-03-12_S98_L004_R1_001.fastq.gz	DvH-03-12_S98_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 12 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_13-36165129/alignment_results/DvH_03_13-36165129_marked.bam	DvH_03_13	single-cells-dvh-03-13	single-cells	03	dvh	13	DvH-03-13_S99_L001_R1_001.fastq.gz	DvH-03-13_S99_L001_R2_001.fastq.gz	DvH-03-13_S99_L002_R1_001.fastq.gz	DvH-03-13_S99_L002_R2_001.fastq.gz	DvH-03-13_S99_L003_R1_001.fastq.gz	DvH-03-13_S99_L003_R2_001.fastq.gz	DvH-03-13_S99_L004_R1_001.fastq.gz	DvH-03-13_S99_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 13 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_14-36161127/alignment_results/DvH_03_14-36161127_marked.bam	DvH_03_14	single-cells-dvh-03-14	single-cells	03	dvh	14	DvH-03-14_S100_L001_R1_001.fastq.gz	DvH-03-14_S100_L001_R2_001.fastq.gz	DvH-03-14_S100_L002_R1_001.fastq.gz	DvH-03-14_S100_L002_R2_001.fastq.gz	DvH-03-14_S100_L003_R1_001.fastq.gz	DvH-03-14_S100_L003_R2_001.fastq.gz	DvH-03-14_S100_L004_R1_001.fastq.gz	DvH-03-14_S100_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 14 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_15-36166130/alignment_results/DvH_03_15-36166130_marked.bam	DvH_03_15	single-cells-dvh-03-15	single-cells	03	dvh	15	DvH-03-15_S101_L001_R1_001.fastq.gz	DvH-03-15_S101_L001_R2_001.fastq.gz	DvH-03-15_S101_L002_R1_001.fastq.gz	DvH-03-15_S101_L002_R2_001.fastq.gz	DvH-03-15_S101_L003_R1_001.fastq.gz	DvH-03-15_S101_L003_R2_001.fastq.gz	DvH-03-15_S101_L004_R1_001.fastq.gz	DvH-03-15_S101_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 15 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_16-36162127/alignment_results/DvH_03_16-36162127_marked.bam	DvH_03_16	single-cells-dvh-03-16	single-cells	03	dvh	16	DvH-03-16_S102_L001_R1_001.fastq.gz	DvH-03-16_S102_L001_R2_001.fastq.gz	DvH-03-16_S102_L002_R1_001.fastq.gz	DvH-03-16_S102_L002_R2_001.fastq.gz	DvH-03-16_S102_L003_R1_001.fastq.gz	DvH-03-16_S102_L003_R2_001.fastq.gz	DvH-03-16_S102_L004_R1_001.fastq.gz	DvH-03-16_S102_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 16 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_17-36163128/alignment_results/DvH_03_17-36163128_marked.bam	DvH_03_17	single-cells-dvh-03-17	single-cells	03	dvh	17	DvH-03-17_S103_L001_R1_001.fastq.gz	DvH-03-17_S103_L001_R2_001.fastq.gz	DvH-03-17_S103_L002_R1_001.fastq.gz	DvH-03-17_S103_L002_R2_001.fastq.gz	DvH-03-17_S103_L003_R1_001.fastq.gz	DvH-03-17_S103_L003_R2_001.fastq.gz	DvH-03-17_S103_L004_R1_001.fastq.gz	DvH-03-17_S103_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 17 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_18-36162128/alignment_results/DvH_03_18-36162128_marked.bam	DvH_03_18	single-cells-dvh-03-18	single-cells	03	dvh	18	DvH-03-18_S104_L001_R1_001.fastq.gz	DvH-03-18_S104_L001_R2_001.fastq.gz	DvH-03-18_S104_L002_R1_001.fastq.gz	DvH-03-18_S104_L002_R2_001.fastq.gz	DvH-03-18_S104_L003_R1_001.fastq.gz	DvH-03-18_S104_L003_R2_001.fastq.gz	DvH-03-18_S104_L004_R1_001.fastq.gz	DvH-03-18_S104_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 18 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation
