BAM_file	sample.x	sample.id	experiment	epd	org	cell	fastq_files1	fastq_files2	fastq_files3	fastq_files4	fastq_files5	fastq_files6	fastq_files7	fastq_files8	description
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/01_Mmp_1_9-48497483/alignment_results/01_Mmp_1_9-48497483_marked.bam	01_Mmp_1_9	single-cells-mmp-03-1	single-cells	03	mmp	1	Mmp-1-9_S1_L001_R1_001.fastq.gz	Mmp-1-9_S1_L001_R2_001.fastq.gz	Mmp-1-9_S1_L002_R1_001.fastq.gz	Mmp-1-9_S1_L002_R2_001.fastq.gz	Mmp-1-9_S1_L003_R1_001.fastq.gz	Mmp-1-9_S1_L003_R2_001.fastq.gz	Mmp-1-9_S1_L004_R1_001.fastq.gz	Mmp-1-9_S1_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 1 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/10_Mmp_10_9-48496487/alignment_results/10_Mmp_10_9-48496487_marked.bam	10_Mmp_10_9	single-cells-mmp-03-10	single-cells	03	mmp	10	Mmp-10-9_S10_L001_R1_001.fastq.gz	Mmp-10-9_S10_L001_R2_001.fastq.gz	Mmp-10-9_S10_L002_R1_001.fastq.gz	Mmp-10-9_S10_L002_R2_001.fastq.gz	Mmp-10-9_S10_L003_R1_001.fastq.gz	Mmp-10-9_S10_L003_R2_001.fastq.gz	Mmp-10-9_S10_L004_R1_001.fastq.gz	Mmp-10-9_S10_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 10 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/11_Mmp_11_9-48496488/alignment_results/11_Mmp_11_9-48496488_marked.bam	11_Mmp_11_9	single-cells-mmp-03-11	single-cells	03	mmp	11	Mmp-11-9_S11_L001_R1_001.fastq.gz	Mmp-11-9_S11_L001_R2_001.fastq.gz	Mmp-11-9_S11_L002_R1_001.fastq.gz	Mmp-11-9_S11_L002_R2_001.fastq.gz	Mmp-11-9_S11_L003_R1_001.fastq.gz	Mmp-11-9_S11_L003_R2_001.fastq.gz	Mmp-11-9_S11_L004_R1_001.fastq.gz	Mmp-11-9_S11_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 11 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/12_Mmp_12_9-48501459/alignment_results/12_Mmp_12_9-48501459_marked.bam	12_Mmp_12_9	single-cells-mmp-03-12	single-cells	03	mmp	12	Mmp-12-9_S12_L001_R1_001.fastq.gz	Mmp-12-9_S12_L001_R2_001.fastq.gz	Mmp-12-9_S12_L002_R1_001.fastq.gz	Mmp-12-9_S12_L002_R2_001.fastq.gz	Mmp-12-9_S12_L003_R1_001.fastq.gz	Mmp-12-9_S12_L003_R2_001.fastq.gz	Mmp-12-9_S12_L004_R1_001.fastq.gz	Mmp-12-9_S12_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 12 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/13_Mmp_13_9-48498456/alignment_results/13_Mmp_13_9-48498456_marked.bam	13_Mmp_13_9	single-cells-mmp-03-13	single-cells	03	mmp	13	Mmp-13-9_S13_L001_R1_001.fastq.gz	Mmp-13-9_S13_L001_R2_001.fastq.gz	Mmp-13-9_S13_L002_R1_001.fastq.gz	Mmp-13-9_S13_L002_R2_001.fastq.gz	Mmp-13-9_S13_L003_R1_001.fastq.gz	Mmp-13-9_S13_L003_R2_001.fastq.gz	Mmp-13-9_S13_L004_R1_001.fastq.gz	Mmp-13-9_S13_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 13 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/14_Mmp_14_9-48495483/alignment_results/14_Mmp_14_9-48495483_marked.bam	14_Mmp_14_9	single-cells-mmp-03-14	single-cells	03	mmp	14	Mmp-14-9_S14_L001_R1_001.fastq.gz	Mmp-14-9_S14_L001_R2_001.fastq.gz	Mmp-14-9_S14_L002_R1_001.fastq.gz	Mmp-14-9_S14_L002_R2_001.fastq.gz	Mmp-14-9_S14_L003_R1_001.fastq.gz	Mmp-14-9_S14_L003_R2_001.fastq.gz	Mmp-14-9_S14_L004_R1_001.fastq.gz	Mmp-14-9_S14_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 14 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/16_Mmp_16_9-48505458/alignment_results/16_Mmp_16_9-48505458_marked.bam	16_Mmp_16_9	single-cells-mmp-03-16	single-cells	03	mmp	16	Mmp-16-9_S16_L001_R1_001.fastq.gz	Mmp-16-9_S16_L001_R2_001.fastq.gz	Mmp-16-9_S16_L002_R1_001.fastq.gz	Mmp-16-9_S16_L002_R2_001.fastq.gz	Mmp-16-9_S16_L003_R1_001.fastq.gz	Mmp-16-9_S16_L003_R2_001.fastq.gz	Mmp-16-9_S16_L004_R1_001.fastq.gz	Mmp-16-9_S16_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 16 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/17_Mmp_17_9-48506461/alignment_results/17_Mmp_17_9-48506461_marked.bam	17_Mmp_17_9	single-cells-mmp-03-17	single-cells	03	mmp	17	Mmp-17-9_S17_L001_R1_001.fastq.gz	Mmp-17-9_S17_L001_R2_001.fastq.gz	Mmp-17-9_S17_L002_R1_001.fastq.gz	Mmp-17-9_S17_L002_R2_001.fastq.gz	Mmp-17-9_S17_L003_R1_001.fastq.gz	Mmp-17-9_S17_L003_R2_001.fastq.gz	Mmp-17-9_S17_L004_R1_001.fastq.gz	Mmp-17-9_S17_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 17 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/18_Mmp_18_9-48482542/alignment_results/18_Mmp_18_9-48482542_marked.bam	18_Mmp_18_9	single-cells-mmp-03-18	single-cells	03	mmp	18	Mmp-18-9_S18_L001_R1_001.fastq.gz	Mmp-18-9_S18_L001_R2_001.fastq.gz	Mmp-18-9_S18_L002_R1_001.fastq.gz	Mmp-18-9_S18_L002_R2_001.fastq.gz	Mmp-18-9_S18_L003_R1_001.fastq.gz	Mmp-18-9_S18_L003_R2_001.fastq.gz	Mmp-18-9_S18_L004_R1_001.fastq.gz	Mmp-18-9_S18_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 18 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/19_Mmp_19_9-48498457/alignment_results/19_Mmp_19_9-48498457_marked.bam	19_Mmp_19_9	single-cells-mmp-03-19	single-cells	03	mmp	19	Mmp-19-9_S19_L001_R1_001.fastq.gz	Mmp-19-9_S19_L001_R2_001.fastq.gz	Mmp-19-9_S19_L002_R1_001.fastq.gz	Mmp-19-9_S19_L002_R2_001.fastq.gz	Mmp-19-9_S19_L003_R1_001.fastq.gz	Mmp-19-9_S19_L003_R2_001.fastq.gz	Mmp-19-9_S19_L004_R1_001.fastq.gz	Mmp-19-9_S19_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 19 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
