File	sample.id	experiment	org	epd	sample	cell	First_Pair_Size
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L001_R1_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 47.8M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L001_R2_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 49.6M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L002_R1_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 48.9M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L002_R2_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 50.4M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L003_R1_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 46.8M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L003_R2_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 48M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L004_R1_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 48M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_1-36161126/DvH-03-1_S95_L004_R2_001.fastq.gz	single-cells-dvh-03-1	single-cells	dvh	03	DvH_03_1	1	 49.2M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L001_R1_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 89.1M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L001_R2_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 92.6M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L002_R1_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 90.2M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L002_R2_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 92.8M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L003_R1_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 87.5M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L003_R2_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 89.8M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L004_R1_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 88.8M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_10-36153125/DvH-03-10_S96_L004_R2_001.fastq.gz	single-cells-dvh-03-10	single-cells	dvh	03	DvH_03_10	10	 91.1M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_11-36160126/DvH-03-11_S97_L001_R1_001.fastq.gz	single-cells-dvh-03-11	single-cells	dvh	03	DvH_03_11	11	 63.1M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/DvH_single_cell_amplified_genome_strain_UA3_152_03-30586562/DvH_03_11-36160126/DvH-03-11_S97_L001_R2_001.fastq.gz	single-cells-dvh-03-11	single-cells	dvh	03	DvH_03_11	11	 65.5M
