Simulation #	Total G-Score
1	773.4145089
2	821.0652405
3	794.6928528
4	812.2143625
5	811.3436032
6	810.511779
7	796.3654314
8	791.0121791
9	817.8155152
10	789.0424446
11	796.2865993
12	794.1530053
13	789.6121186
14	785.5036451
15	782.5889211
16	783.9738145
17	772.5742871
18	789.4298806
19	794.0939546
20	816.4514146
21	800.490302
22	770.6405471
23	800.0942986
24	779.0786171
25	798.3744313
26	762.8443852
27	810.1778505
28	785.8420059
29	766.6941802
30	785.0456276
31	812.2111187
32	822.6724413
33	831.2684382
34	784.4105346
35	805.9840887
36	794.0109571
37	821.7437898
38	803.3384167
39	799.9733824
40	802.2747271
41	793.8007173
42	795.6774685
43	799.2015375
44	787.8140124
45	806.4808703
46	795.9947069
47	802.9567748
48	789.6788569
49	795.5718819
50	806.8277388
51	806.9923249
52	773.2223368
53	790.4701831
54	776.0729771
55	833.4175146
56	807.1181337
57	782.0531383
58	789.9709713
59	797.4100039
60	800.3913792
61	786.2193175
62	791.0633708
63	805.6066145
64	812.7392217
65	811.5758504
66	796.0161034
67	785.4663654
68	803.943737
69	814.2392789
70	798.4920032
71	815.3567418
72	789.3323018
73	786.6984923
74	805.4766031
75	796.5040229
76	791.8307062
77	793.1397472
78	815.9503354
79	771.6407526
80	802.4230152
81	771.4222854
82	815.9134831
83	792.7883512
84	778.0015313
85	786.1155717
86	786.7444494
87	803.642866
88	815.8884743
89	801.636162
90	814.2321584
91	808.8311318
92	788.7097227
93	809.5303096
94	795.4473344
95	793.7819875
96	806.0492121
97	797.8469599
98	785.7745345
99	810.4865458
100	793.2942889
101	802.0022281
102	786.5448744
103	818.1395043
104	810.7275345
105	801.4762746
106	786.0706373
107	808.3825527
108	814.6157811
109	806.9683496
110	822.3861124
111	804.4548121
112	817.9592584
113	792.0134602
114	800.2804503
115	805.7126343
116	792.8529913
117	812.1547977
118	766.1073183
119	786.2482254
120	816.2724571
121	792.9410624
122	806.8749581
123	799.6681271
124	789.7624967
125	823.4070192
126	771.8757612
127	813.8509736
128	812.2629645
129	788.1243043
130	783.3471465
131	823.1394985
132	805.3180148
133	771.1499285
134	784.1779254
135	806.6311153
136	773.0681493
137	803.9520539
138	804.5445881
139	800.1351577
140	801.1742459
141	775.8824995
142	788.9607018
143	806.2680936
144	800.7430316
145	801.8830976
146	783.5158995
147	793.5416342
148	785.4100187
149	786.5327701
150	792.4252981
151	817.1978581
152	795.9228474
153	830.5260228
154	792.6372584
155	794.0583192
156	783.1121741
157	807.3983148
158	780.0496706
159	817.3167872
160	777.3585494
161	813.5262619
162	808.9050154
163	788.9541505
164	806.3502162
165	773.0831433
166	769.85665
167	820.7428841
168	767.9709793
169	809.2234497
170	781.448684
171	814.5977311
172	782.046726
173	788.3638481
174	796.560788
175	780.014333
176	764.8540264
177	800.9192134
178	808.0686696
179	825.1596452
180	795.4417784
181	814.6643113
182	802.5213639
183	830.688173
184	804.2152726
185	786.9556121
186	793.8371305
187	804.3549974
188	793.0963405
189	792.5626369
190	767.8169148
191	801.310327
192	804.9985321
193	767.3012413
194	789.9688063
195	776.4938555
196	781.6828017
197	793.507871
198	843.045779
199	788.7993154
200	793.6729802
201	799.1917079
202	789.0271404
203	806.3229705
204	799.704602
205	787.2168057
206	809.1595159
207	799.2754358
208	792.6556888
209	780.1642655
210	827.171587
211	772.9086922
212	843.6682254
213	795.8412317
214	783.7262348
215	789.9766698
216	800.580167
217	783.7034366
218	832.3221411
219	814.7552999
220	827.5532702
221	793.1654261
222	778.4555805
223	782.3634142
224	813.6691804
225	821.298612
226	833.0266457
227	787.3793742
228	801.8984122
229	788.2502701
230	765.6544135
231	790.7710377
232	777.9543306
233	816.6015183
234	808.3369035
235	829.2664796
236	808.1162356
237	798.8279011
238	782.0060659
239	791.9521316
240	765.4525738
241	785.046861
242	785.3337752
243	783.3281707
244	791.1269564
245	792.5649172
246	792.416948
247	784.856032
248	817.5693679
249	814.0544604
250	763.0496944
251	806.3274743
252	822.0054161
253	795.3788449
254	809.5442895
255	780.8774864
256	811.7930495
257	784.4959064
258	790.3579332
259	812.5716569
260	814.0822781
261	805.291925
262	784.4113624
263	800.8778216
264	778.7920691
265	787.5507281
266	813.1335816
267	791.9270438
268	771.0406098
269	805.4554935
270	806.2084826
271	814.0712334
272	801.5882384
273	804.8314583
274	786.1516819
275	788.8024468
276	799.3820506
277	808.9953727
278	795.1398299
279	797.4295133
280	796.5661296
281	792.2746556
282	797.0608001
283	801.1384465
284	794.4658007
285	793.3783048
286	808.6189435
287	817.6586245
288	806.4328637
289	805.6422701
290	819.743828
291	795.9519076
292	806.1016136
293	792.3905765
294	812.9665972
295	776.7357105
296	785.626338
297	830.6496222
298	777.3152716
299	806.3950738
300	805.8595369
301	780.4704005
302	780.189555
303	795.8228865
304	821.7835876
305	831.2330753
306	815.2880422
307	810.3326895
308	799.3183248
309	793.331351
310	786.1426047
311	785.610297
312	803.4254022
313	789.2499924
314	804.8936314
315	806.4799764
316	803.8654368
317	788.1811977
318	782.976743
319	808.1081421
320	808.9916889
321	787.3119061
322	834.5001854
323	818.3178909
324	772.5618241
325	787.7643938
326	803.4087596
327	805.0170666
328	799.6066467
329	812.0143167
330	823.6505077
331	803.9335836
332	795.0245201
333	812.1547989
334	783.2526638
335	782.6891669
336	804.1700671
337	797.6102069
338	777.9459768
339	811.6891414
340	791.4657242
341	805.4982541
342	784.7751179
343	802.5046607
344	803.2959099
345	784.6586107
346	808.2489119
347	792.6539854
348	790.8292816
349	802.6477871
350	784.1069923
351	792.96809
352	805.0003768
353	782.4503329
354	798.2124544
355	777.9836315
356	834.5256502
357	809.887261
358	799.1865801
359	799.7686488
360	810.1521389
361	787.7458571
362	782.5331891
363	813.8063795
364	810.6302661
365	812.3779566
366	768.6102853
367	798.5299208
368	823.2838057
369	794.3832664
370	782.0161943
371	813.3470217
372	796.0777464
373	779.6596422
374	810.5108447
375	812.3250024
376	822.579945
377	792.3600709
378	798.7490234
379	783.2903248
380	790.5297372
381	799.6687792
382	795.9503601
383	791.1427637
384	781.5725169
385	787.1404801
386	796.0110695
387	781.8149912
388	797.4996871
389	789.2777502
390	804.9349559
391	788.1720747
392	781.0348966
393	807.4273098
394	755.191046
395	826.7218707
396	773.8127368
397	794.6887151
398	781.0260258
399	804.4338177
400	792.874234
401	800.0188111
402	801.1287611
403	809.2652194
404	785.1494647
405	800.0934787
406	800.0841616
407	789.7445266
408	772.600123
409	831.5892849
410	776.7671371
411	775.6211367
412	801.8649656
413	780.7955502
414	805.8577825
415	779.2675665
416	791.7281227
417	789.5184436
418	809.532033
419	799.2242531
420	811.5443892
421	829.9929216
422	772.1261178
423	802.845052
424	788.6841799
425	801.3304033
426	789.5181316
427	788.6004805
428	770.9684756
429	802.568377
430	788.1246072
431	801.2202717
432	781.9614962
433	808.1542292
434	792.9499593
435	827.117979
436	797.8247948
437	790.5178958
438	808.0131285
439	807.3339799
440	824.5802687
441	779.3592368
442	796.651084
443	818.3939791
444	822.6494358
445	821.2136543
446	811.9167625
447	792.4675254
448	802.908449
449	789.3129951
450	786.4089177
451	791.2699826
452	814.3976847
453	821.9382197
454	811.4006765
455	822.8152646
456	818.3960257
457	815.9471691
458	788.9811658
459	810.0604512
460	791.0727606
461	807.8605459
462	762.8883521
463	813.2252972
464	807.5627658
465	809.4953151
466	786.5167624
467	801.3529294
468	803.9050892
469	801.5382382
470	786.7681621
471	803.5985858
472	802.525206
473	783.8923117
474	805.2047793
475	783.9271273
476	784.8339985
477	807.0344544
478	804.4877426
479	808.0629327
480	806.1958534
481	801.7624643
482	808.7894093
483	806.4079989
484	805.0805467
485	801.0164817
486	782.1858244
487	771.5135717
488	787.4707915
489	809.1655531
490	814.7173035
491	790.9485898
492	795.4491731
493	767.4183181
494	800.6161102
495	797.2376799
496	801.5236836
497	804.259816
498	806.3513791
499	798.8632427
500	795.2795115
501	772.5869946
502	783.4042438
503	775.3821957
504	807.0335913
505	776.8107443
506	791.762699
507	828.1116022
508	792.1616003
509	823.9149236
510	790.0787398
511	794.1705861
512	799.9500788
513	813.3809174
514	794.9011365
515	803.4836511
516	796.6685013
517	810.6165267
518	811.4843216
519	775.3619122
520	772.9442398
521	797.6349048
522	776.3520382
523	813.1586496
524	806.6848704
525	790.90916
526	805.9547688
527	815.6818817
528	787.4387652
529	797.4857919
530	770.0222045
531	783.9918227
532	775.4529733
533	789.1981578
534	816.3569108
535	790.0827676
536	787.0479068
537	786.5564705
538	796.6589213
539	794.5454736
540	792.8145876
541	799.8052151
542	805.7699757
543	807.7863151
544	815.3969721
545	790.2574148
546	806.9245919
547	815.0264851
548	801.9547309
549	820.057561
550	791.8197791
551	779.3040346
552	816.4813796
553	803.0861608
554	808.2196133
555	820.4464211
556	823.4239962
557	784.193586
558	823.9976518
559	803.2312507
560	791.3080107
561	793.5652942
562	823.257868
563	803.1369149
564	781.8917166
565	769.1402411
566	799.9756225
567	813.5355799
568	810.2442012
569	800.0637275
570	809.7048472
571	809.0877376
572	766.6074613
573	780.4299068
574	801.1615437
575	803.4064968
576	786.9294274
577	823.8348159
578	813.0624262
579	803.8610986
