Simulation no	Total Gscore
1	590.9419152
2	590.9419152
3	569.4478198
4	569.4478198
5	552.0814331
6	552.0814331
7	548.4171999
8	548.4171999
9	577.9843664
10	577.9843664
11	555.1078345
12	555.1078345
13	571.4973982
14	571.4973982
15	562.242479
16	562.242479
17	548.6447175
18	548.6447175
19	542.0886173
20	542.0886173
21	526.2082502
22	526.2082502
23	532.932452
24	532.932452
25	575.0601266
26	575.0601266
27	567.2397055
28	567.2397055
29	568.8497271
30	568.8497271
31	575.773276
32	575.773276
33	571.4428394
34	571.4428394
35	563.1827182
36	563.1827182
37	551.7818761
38	551.7818761
39	577.8513838
40	577.8513838
41	565.1426755
42	565.1426755
43	600.7581923
44	600.7581923
45	578.0152007
46	578.0152007
47	576.089057
48	576.089057
49	549.7777038
50	549.7777038
51	565.4671727
52	565.4671727
53	577.3039949
54	577.3039949
55	560.0203323
56	560.0203323
57	563.2466926
58	563.2466926
59	573.0464008
60	573.0464008
61	587.7557251
62	587.7557251
63	549.8768326
64	549.8768326
65	563.5748503
66	563.5748503
67	566.3592242
68	566.3592242
69	590.7127171
70	590.7127171
71	556.129519
72	556.129519
73	556.9307241
74	556.9307241
75	529.2021487
76	529.2021487
77	593.3571689
78	593.3571689
79	573.6792946
80	581.6043314
81	579.428928
82	579.428928
83	532.6176715
84	532.6176715
85	553.5186157
86	553.5186157
87	560.3277646
88	560.3277646
89	547.4108509
90	547.4108509
91	526.1285489
92	526.1285489
93	581.5526583
94	581.5526583
95	561.281842
96	569.2068787
97	564.6333385
98	564.6333385
99	588.1428031
100	588.1428031
101	559.4848932
102	559.4848932
103	579.8493949
104	579.8493949
105	577.4541706
106	577.4541706
107	555.7458584
108	555.7458584
109	549.63796
110	549.63796
111	559.6265263
112	559.6265263
113	569.535234
114	569.535234
115	556.9288845
116	556.9288845
117	567.7402375
118	567.7402375
119	552.0722695
120	552.0722695
121	574.0123043
122	574.0123043
123	569.5094411
124	569.5094411
125	535.9024418
126	535.9024418
127	559.5334424
128	559.5334424
129	551.7083432
130	551.7083432
131	560.8138989
132	560.8138989
133	579.2265425
134	579.2265425
135	559.2400382
136	559.2400382
137	552.8093467
138	552.8093467
139	546.0791198
140	546.0791198
141	600.1840498
142	600.1840498
143	550.117546
144	550.117546
145	547.3400936
146	547.3400936
147	562.2962168
148	562.2962168
149	558.8449083
150	558.8449083
151	570.1991347
152	570.1991347
153	563.069311
