# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	151	1464	+					dnaA-1	2794438	DVU0001	1314		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	151	1464	+	YP_009226.1	WP_010937312.1		chromosomal replication initiator protein DnaA	dnaA-1	2794438	DVU0001	1314	437	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	1610	2764	+					dnaN	2794971	DVU0002	1155		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	1610	2764	+	YP_009227.1	WP_010937313.1		DNA polymerase III subunit beta	dnaN	2794971	DVU0002	1155	384	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	2766	5162	+					gyrB	2794972	DVU0003	2397		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	2766	5162	+	YP_009228.1	WP_010937314.1		DNA gyrase subunit B	gyrB	2794972	DVU0003	2397	798	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	5262	7832	+					gyrA	2794973	DVU0004	2571		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	5262	7832	+	YP_009229.1	WP_010937315.1		DNA gyrase subunit A	gyrA	2794973	DVU0004	2571	856	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	7835	8620	+						2794228	DVU0005	786		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	7835	8620	+	YP_009230.1	WP_010937316.1		lipoprotein		2794228	DVU0005	786	261	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	8913	9377	-						2794229	DVU0006	465		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	8913	9377	-	YP_009231.1	WP_010937317.1		universal stress protein		2794229	DVU0006	465	154	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	9552	10937	-					asnC	2793559	DVU0007	1386		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	9552	10937	-	YP_009232.1	WP_010937318.1		asparaginyl-tRNA synthetase	asnC	2793559	DVU0007	1386	461	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	11095	11220	-						2793560	DVU0008	126		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	11095	11220	-	YP_009233.1	WP_010937319.1		hypothetical protein		2793560	DVU0008	126	41	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	11681	12961	-						2796536	DVU0009	1281		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	11681	12961	-	YP_009234.1	WP_010937320.1		TRAP C4-dicarboxylate transport system permease DctM		2796536	DVU0009	1281	426	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	12958	13524	-						2796537	DVU0010	567		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	12958	13524	-	YP_009235.1	WP_010937321.1		TRAP C4-dicarboxylate transport system subunit DctQ		2796537	DVU0010	567	188	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	13586	14611	-						2796415	DVU0011	1026		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	13586	14611	-	YP_009236.1	WP_010937322.1		TRAP dicarboxylate family transporter subunit DctP		2796415	DVU0011	1026	341	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	15099	16301	+						2796416	DVU0012	1203		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	15099	16301	+	YP_009237.1	WP_010937323.1		hypothetical protein		2796416	DVU0012	1203	400	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	16462	18270	+						2794453	DVU0013	1809		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	16462	18270	+	YP_009238.1	WP_010937324.1		sensory box histidine kinase		2794453	DVU0013	1809	602	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	18470	18688	-					infA	2794454	DVU0014	219		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	18470	18688	-	YP_009239.1	WP_010937325.1		translation initiation factor IF-1	infA	2794454	DVU0014	219	72	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	18804	19595	-					lgt	2796547	DVU0015	792		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	18804	19595	-	YP_009240.1	WP_010937326.1		prolipoprotein diacylglyceryl transferase	lgt	2796547	DVU0015	792	263	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19735	19839	+						2796548	DVU0016	105		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19735	19839	+	YP_009241.1	WP_010937327.1		hypothetical protein		2796548	DVU0016	105	34	
gene	tRNA	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19895	19970	+						2796549	DVU_tRNA-Ala-1	76		
tRNA		GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19895	19970	+				tRNA-Ala		2796549	DVU_tRNA-Ala-1	76		
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19976	20152	-						2794278	DVU0017	177		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	19976	20152	-	YP_009242.1	WP_010937328.1		hypothetical protein		2794278	DVU0017	177	58	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	20136	22385	+						2794279	DVU0018	2250		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	20136	22385	+	YP_009243.1	WP_010937329.1		methyl-accepting chemotaxis protein		2794279	DVU0018	2250	749	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	22502	23110	-					ngr	2794280	DVU0019	609		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	22502	23110	-	YP_009244.1	WP_010937330.1		nigerythrin	ngr	2794280	DVU0019	609	202	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	23221	23367	-						2794952	DVU0020	147		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	23221	23367	-	YP_009245.1	WP_010937331.1		hypothetical protein		2794952	DVU0020	147	48	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	23612	24658	-						2794953	DVU0021	1047		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	23612	24658	-	YP_009246.1	WP_010937332.1		hypothetical protein		2794953	DVU0021	1047	348	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	24857	27238	-						2794596	DVU0022	2382		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	24857	27238	-	YP_009247.1	WP_010937333.1		HAMP domain/GGDEF domain/EAL domain-containing protein		2794596	DVU0022	2382	793	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27228	27425	+						2794597	DVU0023	198		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27228	27425	+	YP_009248.1	WP_010937334.1		hypothetical protein		2794597	DVU0023	198	65	
