"locus"	"symbol"	"name"	"Length"	"observed"	"expected"	"Gscore"	"Nframeshift"	"Nsynonymous"
"823"	"DVU_0799"	""	"hypothetical protein"	"1401"	"14"	"0.0524215437565876"	"156.554506207539"	"0"	"0"
"2843"	"DVU_2776"	"dsvC"	"dissimilatory sulfite reductase subunit gamma"	"318"	"6"	"0.0118986801674482"	"74.7008209695594"	"0"	"0"
"1286"	"DVU_1260"	""	"outer membrane protein P1"	"1284"	"6"	"0.0480437274685642"	"58.0245427531963"	"4"	"0"
"1904"	"DVU_1862"	""	"diguanylate cyclase"	"996"	"5"	"0.0372675642980452"	"49.064957056357"	"3"	"0"
"2962"	"DVU_2894"	""	"sigma-54 dependent transcriptional regulator"	"1050"	"5"	"0.0392880948925175"	"48.5409855603576"	"3"	"0"
"1323"	"DVU_1295"	"sat"	"sulfate adenylyltransferase"	"1284"	"5"	"0.0480437274685642"	"46.5464448138109"	"4"	"0"
"2449"	"DVU_2394"	""	"sigma-54 dependent transcriptional regulator/response regulator"	"1392"	"5"	"0.0520847886575089"	"45.7468332473371"	"3"	"0"
"2506"	"DVU_2451"	""	"L-lactate permease"	"1713"	"5"	"0.06409572052465"	"43.6955326659073"	"3"	"0"
"870"	"DVU_0846"	"aprB"	"adenylylsulfate reductase subunit beta"	"504"	"4"	"0.0188582855484084"	"42.894406109966"	"3"	"0"
"1240"	"DVU_1214"	""	"dolichyl-phosphate-mannose-protein mannosyltransferase"	"2193"	"5"	"0.0820559924755151"	"41.2606933231683"	"3"	"0"
"1118"	"DVU_1092"	""	"sodium-dependent symporter family protein"	"1362"	"4"	"0.0509622716605798"	"35.0049931377781"	"3"	"0"
"617"	"DVU_0597"	"lytS"	"regulatory protein LytS"	"1716"	"4"	"0.0642079722243429"	"33.1827742502482"	"0"	"0"
"13"	"DVU_0013"	""	"sensory box histidine kinase"	"1809"	"4"	"0.067687774914823"	"32.7673953315513"	"1"	"0"
"1311"	"DVU_1283"	"galU"	"UTP-glucose-1-phosphate uridylyltransferase"	"879"	"3"	"0.0328897480100218"	"27.1446609459023"	"0"	"0"
"1"	"DVU_0001"	"dnaA-1"	"chromosomal replication initiator protein DnaA"	"1314"	"3"	"0.0491662444654933"	"24.7644970189705"	"1"	"0"
"871"	"DVU_0847"	"aprA"	"adenylylsulfate reductase subunit alpha"	"1995"	"3"	"0.0746473802957832"	"22.3090204222729"	"0"	"0"
"3310"	"DVU_3227"	""	"flagellar basal body-associated protein"	"684"	"2"	"0.0255933875299828"	"17.4851357959364"	"2"	"0"
"456"	"DVU_0436"	""	"TetR family transcriptional regulator"	"756"	"2"	"0.0282874283226126"	"17.0901184301723"	"0"	"0"
"2450"	"DVU_2395"	""	"sensor histidine kinase"	"1257"	"2"	"0.0470334621713281"	"15.0931504919294"	"1"	"0"
"3492"	"DVUA0011"	"nifK"	"nitrogenase molybdenum-iron protein subunit beta"	"1386"	"2"	"0.0518602852581231"	"14.7117953449151"	"0"	"0"
"821"	"DVU_0797"	""	"hypothetical protein"	"1431"	"2"	"0.0535440607535167"	"14.5872700365589"	"0"	"0"
"900"	"DVU_0876"	""	"metallo-beta-lactamase"	"1665"	"2"	"0.0622996933295634"	"13.998481967218"	"0"	"0"
"2261"	"DVU_2210"	""	"hypothetical protein"	"1728"	"2"	"0.0646569790231145"	"13.8544933179679"	"1"	"0"
"1057"	"DVU_1031"	""	"hypothetical protein"	"177"	"1"	"0.00662285028188152"	"10.0476609221636"	"0"	"0"
"2305"	"DVU_2253"	""	"hypothetical protein"	"183"	"1"	"0.00684735368126733"	"9.98143408455386"	"0"	"0"
"869"	"DVU_0845"	""	"hypothetical protein"	"261"	"1"	"0.00976589787328292"	"9.27715458094955"	"1"	"0"
"158"	"DVU_0150"	""	"hypothetical protein"	"297"	"1"	"0.0111129182695978"	"9.02139732555239"	"0"	"0"
"514"	"DVU_0493"	""	"hypothetical protein"	"309"	"1"	"0.0115619250683694"	"8.94306699594972"	"0"	"0"
"35"	"DVU_0032"	""	"hypothetical protein"	"336"	"1"	"0.0125721903656056"	"8.77752366942904"	"0"	"0"
"192"	"DVU_0184"	""	"hypothetical protein"	"420"	"1"	"0.015715237957007"	"8.33743499817341"	"0"	"0"
"1669"	"DVU_1632"	""	"PTS system transporter subunit IIA"	"438"	"1"	"0.0163887481551644"	"8.25483233965682"	"0"	"0"
"1514"	"DVU_1483"	""	"tail fiber assembly protein"	"510"	"1"	"0.0190827889477942"	"7.95574289720728"	"0"	"0"
"1719"	"DVU_1679"	"idi"	"isopentenyl-diphosphate delta-isomerase"	"537"	"1"	"0.0200930542450304"	"7.85454987274488"	"1"	"0"
"1038"	"DVU_1012"	""	"hemolysin-type calcium-binding repeat-containing protein"	"9117"	"2"	"0.341132915366745"	"7.70447224232578"	"2"	"0"
"2358"	"DVU_2305"	""	"hypothetical protein"	"630"	"1"	"0.0235728569355105"	"7.54191733280683"	"0"	"0"
"940"	"DVU_0916"	""	"redox-sensing transcriptional repressor Rex"	"645"	"1"	"0.024134115433975"	"7.49595270288649"	"0"	"0"
"1241"	"DVU_1215"	""	"PAP2 family protein"	"657"	"1"	"0.0245831222327467"	"7.45996195890857"	"1"	"0"
"3322"	"DVU_3239"	""	"PAP2 family protein"	"666"	"1"	"0.0249198773318254"	"7.43340789726444"	"0"	"0"
