"locus"	"symbol"	"name"	"Length"	"observed"	"expected"	"Gscore"	"Nframeshift"	"Nsynonymous"
"1771"	"MMP1718"	""	"conserved hypothetical archeal protein"	"333"	"13"	"0.0216128870376876"	"166.427976697995"	"11"	"0"
"446"	"MMP0419"	""	"Sodium:neurotransmitter symporter"	"1512"	"12"	"0.0981341897927435"	"115.547296676355"	"4"	"0"
"1553"	"MMP1511"	""	"Sodium:alanine symporter"	"1362"	"8"	"0.0883986550910825"	"72.2612686969475"	"2"	"0"
"1261"	"MMP1227"	"cbiE"	"Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase"	"741"	"6"	"0.0480935414262057"	"58.0122058803925"	"0"	"0"
"357"	"MMP0335"	""	"conserved hypothetical protein"	"414"	"5"	"0.0268700757765845"	"52.3153957533647"	"5"	"0"
"1340"	"MMP1303"	""	"Sensory transduction histidine kinase"	"1920"	"6"	"0.124614844181262"	"46.7381210029756"	"6"	"0"
"1402"	"MMP1362"	"rpoB1"	"Glycoside hydrolase, family 1:DNA-directed RNA polymerase, beta subunit:ATP/GTP-binding site motif A (P-loop)"	"1836"	"5"	"0.119162944748331"	"37.6025437721714"	"0"	"0"
"231"	"MMP0209"	""	"Conserved hypothetical protein"	"555"	"3"	"0.0360214783961459"	"26.6051269823878"	"1"	"0"
"187"	"MMP0166"	""	"MatE family member (drug/sodium antiporters)"	"1383"	"3"	"0.089761629949315"	"21.2321497435413"	"3"	"0"
"382"	"MMP0357"	""	"UDP-N-acetylglucosamine 2-epimerase"	"1074"	"2"	"0.0697064284638932"	"13.5634780408727"	"2"	"0"
"44"	"MMP0033"	""	"LysR family member"	"1227"	"2"	"0.0796366738595875"	"13.0498950711246"	"0"	"0"
"1111"	"MMP1077"	""	"Phosphoglucomutase/phosphomannomutase:Calcium-binding EF-hand"	"1344"	"2"	"0.0872303909268831"	"12.7001620173487"	"0"	"0"
"1401"	"MMP1361"	"rpoB2"	"DNA-directed RNA polymerase subunit B"	"1500"	"2"	"0.0973553470166106"	"12.2802592619307"	"0"	"0"
"349"	"MMP0327"	"deoA"	"Thymidine phosphorylase"	"1518"	"2"	"0.0985236111808099"	"12.2347724291773"	"0"	"0"
"722"	"MMP0694"	""	"Beta-lactamase-like:KH domain"	"1908"	"2"	"0.123836001405129"	"11.3680841852459"	"0"	"0"
"1403"	"MMP1363"	"rpoA1"	"RNA polymerase, alpha subunit"	"2670"	"2"	"0.173292517689567"	"10.1160702622445"	"0"	"0"
"494"	"MMP0466"	""	"hypothetical"	"252"	"1"	"0.0163556982987906"	"8.25880461438318"	"1"	"0"
"982"	"MMP0952"	"aIF-5A"	"translation initiation factor IF-5a"	"396"	"1"	"0.0257018116123852"	"7.37314174272244"	"0"	"0"
"279"	"MMP0257"	"tbp"	"TATA-binding protein (TBP)"	"546"	"1"	"0.0354373463140463"	"6.74962585722222"	"0"	"0"
"1602"	"MMP1557"	"mcrC"	"methyl coenzyme M reductase I, protein C"	"597"	"1"	"0.038747428112611"	"6.57741297582565"	"1"	"0"
"1204"	"MMP1170"	""	"Glycosyl transferase, family 2"	"693"	"1"	"0.0449781703216741"	"6.29114801285972"	"0"	"0"
"1656"	"MMP1611"	""	"conserved hypothetical protein"	"753"	"1"	"0.0488723842023385"	"6.13251689912538"	"0"	"0"
"273"	"MMP0251"	"psmA"	"proteasome, subunit alpha"	"780"	"1"	"0.0506247804486375"	"6.0653982131809"	"1"	"0"
"1539"	"MMP1498"	""	"conserved hypothetical protein"	"783"	"1"	"0.0508194911426707"	"6.05809128318497"	"0"	"0"
"1266"	"MMP1232"	""	"conserved hypothetical protein"	"891"	"1"	"0.0578290761278667"	"5.81296469845043"	"0"	"0"
"1520"	"MMP1479"	""	"Protein of unknown function DUF147"	"939"	"1"	"0.0609444472323983"	"5.71390406048433"	"0"	"0"
"188"	"MMP0167"	""	"ABC transporter ATP binding protein family member"	"969"	"1"	"0.0628915541727305"	"5.65467294735624"	"1"	"0"
"671"	"MMP0643"	""	"conserved hypothetical protein"	"1014"	"1"	"0.0658122145832288"	"5.56937395442535"	"0"	"0"
"733"	"MMP0705"	"wbpI"	"UDP-N-acetylglucosamine 2-epimerase"	"1101"	"1"	"0.0714588247101922"	"5.41530996165465"	"0"	"0"
"256"	"MMP0234"	""	"conserved hypothetical protein"	"1149"	"1"	"0.0745741958147237"	"5.33577043682548"	"0"	"0"
"1260"	"MMP1226"	""	"conserved hypothetical protein"	"1158"	"1"	"0.0751583278968234"	"5.32125256886358"	"1"	"0"
"167"	"MMP0146"	""	"conserved hypothetical protein"	"1407"	"1"	"0.0913193155015808"	"4.96156059693102"	"0"	"0"
"994"	"MMP0961"	""	"conserved hypothetical protein"	"1500"	"1"	"0.0973553470166106"	"4.8445813559859"	"0"	"0"
"862"	"MMP0832"	""	"Conserved Hypothetical Protein"	"1779"	"1"	"0.1154634415617"	"4.53614256722502"	"0"	"0"
"1773"	"MMP1720"	""	"conserved hypothetical archaeal protein"	"1797"	"1"	"0.1166317057259"	"4.51810174331108"	"0"	"0"
"1220"	"MMP1186"	"lon"	"Eukaryotic thiol (cysteine) protease, active site:ATP/GTP-binding site motif A (P-loop):Sigma-54 factor interaction domain:Pu..."	"2079"	"1"	"0.134934510965022"	"4.25908134377178"	"0"	"0"
"1351"	"MMP1314"	""	"Phosphoesterase, RecJ-like:RNA binding S1:OB-fold nucleic acid binding domain Related protein"	"2286"	"1"	"0.148369548853315"	"4.09278463694789"	"1"	"0"
"32"	"MMP0026"	"DP2"	"DNA-directed DNA polymerase II large subunit"	"3396"	"1"	"0.220412505645606"	"3.42288676722321"	"0"	"0"
"1"	"RNA_46"	"rrnA5S"	"5S ribosomal RNA"	"115"	"0"	"0.00746390993794015"	"0"	"0"	"0"
"2"	"RNA_38"	"rrnA23S"	"23S ribosomal RNA"	"2957"	"0"	"0.191919840752078"	"0"	"0"	"0"
"3"	"RNA_39"	"rrnA16S"	"16S ribosomal RNA"	"1392"	"0"	"0.0903457620314147"	"0"	"0"	"0"
"4"	"RNA_47"	"rrnB5S"	"5S ribosomal RNA"	"115"	"0"	"0.00746390993794015"	"0"	"0"	"0"
"5"	"RNA_40"	"rrnB23S"	"23S ribosomal RNA"	"2957"	"0"	"0.191919840752078"	"0"	"0"	"0"
"6"	"RNA_41"	"rrnB16S"	"16S ribosomal RNA"	"1392"	"0"	"0.0903457620314147"	"0"	"0"	"0"
"7"	"MMP0001"	""	"conserved archaeal protein"	"282"	"0"	"0.0183028052391228"	"0"	"0"	"0"
"8"	"MMP0002"	""	"L-seryl-tRNA selenium transferase related protein"	"1065"	"0"	"0.0691222963817936"	"0"	"0"	"0"
"9"	"MMP0003"	"korA"	"2-oxoglutarate oxidoreductase alpha subunit"	"1092"	"0"	"0.0708746926280925"	"0"	"0"	"0"
"10"	"MMP0004"	""	"Kinase related protein"	"897"	"0"	"0.0582184975159332"	"0"	"0"	"0"
"11"	"MMP0005"	""	"hypothetical protein"	"1584"	"0"	"0.102807246449541"	"0"	"0"	"0"
"12"	"MMP0006"	""	"Conserved hypothetical protein"	"1086"	"0"	"0.0704852712400261"	"0"	"0"	"0"
"13"	"MMP0007"	""	"Conserved hypothetical protein"	"771"	"0"	"0.0500406483665379"	"0"	"0"	"0"
"14"	"MMP0008"	"DP1"	"DNA polymerase, archaeal type II, small subunit"	"1758"	"0"	"0.114100466703468"	"0"	"0"	"0"
"15"	"MMP0009"	""	"putative DNA primase large subunit"	"1119"	"0"	"0.0726270888743915"	"0"	"0"	"0"
"16"	"MMP0010"	""	"Conserved hypothetical Archael protein"	"426"	"0"	"0.0276489185527174"	"0"	"0"	"0"
"17"	"MMP0011"	""	"C-5 cytosine-specific DNA methylase"	"1068"	"0"	"0.0693170070758268"	"0"	"0"	"0"
"18"	"MMP0012"	""	"Conserved hypothetical protein"	"450"	"0"	"0.0292066041049832"	"0"	"0"	"0"
"19"	"MMP0013"	"argH"	"argininosuccinate lyase"	"1446"	"0"	"0.0938505545240127"	"0"	"0"	"0"
"20"	"MMP0014"	""	"conserved hypothetical protein"	"1170"	"0"	"0.0759371706729563"	"0"	"0"	"0"
"21"	"MMP0015"	""	"conserved hypothetical protein"	"804"	"0"	"0.0521824660009033"	"0"	"0"	"0"
"22"	"MMP0016"	""	"Conserved hypothetical protein"	"492"	"0"	"0.0319325538214483"	"0"	"0"	"0"
"23"	"MMP0017"	""	"conserved hypothetical protein"	"1053"	"0"	"0.0683434536056607"	"0"	"0"	"0"
"24"	"MMP0018"	""	"Transcriptional regulator, LysR Family Member"	"843"	"0"	"0.0547137050233352"	"0"	"0"	"0"
"25"	"MMP0019"	""	"hypothetical protein"	"228"	"0"	"0.0147980127465248"	"0"	"0"	"0"
"26"	"MMP0020"	""	"conserved hypothetical protein"	"426"	"0"	"0.0276489185527174"	"0"	"0"	"0"
"27"	"MMP0021"	""	"conserved hypothetical archaeal protein"	"876"	"0"	"0.0568555226577006"	"0"	"0"	"0"
"28"	"MMP0022"	""	"Conserved hypothetical protein"	"336"	"0"	"0.0218075977317208"	"0"	"0"	"0"
"29"	"MMP0023"	""	"conserved hypothetical protein"	"825"	"0"	"0.0535454408591358"	"0"	"0"	"0"
"30"	"MMP0024"	""	"putative AAA superfamily ATPase, similar to FtsH"	"1116"	"0"	"0.0724323781803583"	"0"	"0"	"0"
"31"	"MMP0025"	""	"hypothetical protein"	"273"	"0"	"0.0177186731570231"	"0"	"0"	"0"
"33"	"RNA_45"	"RNaseP RNA"	"RNA component of RNaseP"	"230"	"0"	"0.0149278198758803"	"0"	"0"	"0"
"34"	"RNA_48"	"rnnC5S"	"5S ribosomal RNA"	"115"	"0"	"0.00746390993794015"	"0"	"0"	"0"
"35"	"RNA_42"	"rrnC23S"	"23S ribosomal RNA"	"2957"	"0"	"0.191919840752078"	"0"	"0"	"0"
"36"	"RNA_36"	"tRNA-Ala2"	"tRNA-Ala"	"73"	"0"	"0.00473796022147505"	"0"	"0"	"0"
"37"	"RNA_44"	"rrnC16S"	"16S ribosomal RNA"	"1392"	"0"	"0.0903457620314147"	"0"	"0"	"0"
"38"	"MMP0027"	""	"putative potassium channel protein"	"1008"	"0"	"0.0654227931951623"	"0"	"0"	"0"
"39"	"MMP0028"	""	"cobyric acid synthase related protein"	"1452"	"0"	"0.0942399759120791"	"0"	"0"	"0"
"40"	"MMP0029"	""	"conserved hypothetical archeal protein"	"639"	"0"	"0.0414733778290761"	"0"	"0"	"0"
"41"	"MMP0030"	""	"DNA replication protein; MCM family; putative"	"2019"	"0"	"0.131040297084358"	"0"	"0"	"0"
"42"	"MMP0031"	""	"conserved hypothetical archeal protein"	"1083"	"0"	"0.0702905605459929"	"0"	"0"	"0"
"43"	"MMP0032"	""	"ArsR family member"	"522"	"0"	"0.0338796607617805"	"0"	"0"	"0"
"45"	"MMP0034"	""	"conserved hypothetical protein"	"948"	"0"	"0.0615285793144979"	"0"	"0"	"0"
"46"	"MMP0035"	""	"conserved hypothetical protein"	"1050"	"0"	"0.0681487429116274"	"0"	"0"	"0"
"47"	"MMP0036"	"tfe"	"Transcription factor E"	"558"	"0"	"0.0362161890901792"	"0"	"0"	"0"
"48"	"MMP0037"	""	"hypothetical protein; HD domain"	"588"	"0"	"0.0381632960305114"	"0"	"0"	"0"
"49"	"MMP0038"	""	"conserved hypothetical protein"	"897"	"0"	"0.0582184975159332"	"0"	"0"	"0"
"50"	"MMP0039"	""	"conserved hypothetical protein"	"1059"	"0"	"0.0687328749937271"	"0"	"0"	"0"
"51"	"MMP0040"	""	"type II secretion system protein; putative; subunit 1"	"1650"	"0"	"0.107090881718272"	"0"	"0"	"0"
"52"	"MMP0041"	"tfb"	"transcription initiation factor B"	"1020"	"0"	"0.0662016359712952"	"0"	"0"	"0"
"53"	"MMP0042"	""	"conserved hypothetical protein"	"282"	"0"	"0.0183028052391228"	"0"	"0"	"0"
"54"	"MMP0043"	""	"isopentenyl-diphosphate delta-isomerase related protein"	"1068"	"0"	"0.0693170070758268"	"0"	"0"	"0"
"55"	"MMP0044"	""	"conserved hypothetical protein"	"1347"	"0"	"0.0874251016209164"	"0"	"0"	"0"
"56"	"MMP0045"	"idsA"	"bifunctional short chain isoprenyl diphosphate synthase"	"954"	"0"	"0.0619180007025644"	"0"	"0"	"0"
"57"	"MMP0046"	""	"conserved hypothetical protein"	"453"	"0"	"0.0294013147990164"	"0"	"0"	"0"
"58"	"MMP0047"	""	"conserved hypothetical protein"	"1110"	"0"	"0.0720429567922919"	"0"	"0"	"0"
"59"	"MMP0048"	""	"conserved hypothetical protein"	"273"	"0"	"0.0177186731570231"	"0"	"0"	"0"
"60"	"MMP0049"	""	"carbonic anhydrase (gamma family Zn(II)-dependent enzymes)"	"456"	"0"	"0.0295960254930496"	"0"	"0"	"1"
"61"	"MMP0050"	""	"riboflavin synthase, beta subunit (6,7-dimethyl-8-ribityllumazine synthase)"	"414"	"0"	"0.0268700757765845"	"0"	"0"	"0"
"62"	"MMP0051"	"hisE"	"Phosphoribosyl-ATP pyrophosphatase"	"291"	"0"	"0.0188869373212225"	"0"	"0"	"0"
