# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68	182	-					rrnA5S		RNA_46	115		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68	182	-				5S ribosomal RNA	rrnA5S		RNA_46	115		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	244	3200	-					rrnA23S		RNA_38	2957		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	244	3200	-				23S ribosomal RNA	rrnA23S		RNA_38	2957		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	3402	4793	-					rrnA16S		RNA_39	1392		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	3402	4793	-				16S ribosomal RNA	rrnA16S		RNA_39	1392		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	5109	5223	-					rrnB5S		RNA_47	115		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	5109	5223	-				5S ribosomal RNA	rrnB5S		RNA_47	115		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	5285	8241	-					rrnB23S		RNA_40	2957		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	5285	8241	-				23S ribosomal RNA	rrnB23S		RNA_40	2957		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	8443	9834	-					rrnB16S		RNA_41	1392		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	8443	9834	-				16S ribosomal RNA	rrnB16S		RNA_41	1392		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	10104	10385	+							MMP0001	282		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	10104	10385	+	CAF29557.1			conserved archaeal protein			MMP0001	282	93	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	10416	11480	+							MMP0002	1065		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	10416	11480	+	CAF29558.1			L-seryl-tRNA selenium transferase related protein			MMP0002	1065	354	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	11517	12608	-					korA		MMP0003	1092		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	11517	12608	-	CAF29559.1			2-oxoglutarate oxidoreductase alpha subunit	korA		MMP0003	1092	363	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	12647	13543	-							MMP0004	897		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	12647	13543	-	CAF29560.1			Kinase related protein			MMP0004	897	298	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	13625	15208	-							MMP0005	1584		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	13625	15208	-	CAF29561.1			hypothetical protein			MMP0005	1584	527	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	15336	16421	+							MMP0006	1086		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	15336	16421	+	CAF29562.1			Conserved hypothetical protein			MMP0006	1086	361	
